                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 111.08,                      0,                      0,                      0,                      0,                      0,                      0,                 175.12,                      0,                0.00012,                0.00012,                0.00012
                      2,                      0,                 102.86,                      0,                      0,                      0,                      0,                      0,                      0,                 174.51,                      0,             0.00024713,             0.00024713,             0.00024713
                      3,                      0,                 91.347,                      0,                      0,                      0,                      0,                      0,                      0,                 172.46,                      0,              0.0003604,              0.0003604,              0.0003604
                      4,                      0,                 82.013,                      0,                      0,                      0,                      0,                      0,                      0,                  169.8,                      0,             0.00045981,             0.00045981,             0.00045981
                      5,                      0,                 73.572,                      0,                      0,                      0,                      0,                      0,                      0,                 147.86,                      0,             0.00054536,             0.00054536,             0.00054536
                      6,                      0,                 69.334,                      0,                      0,                      0,                      0,                      0,                      0,                 124.77,                      0,             0.00061705,             0.00061705,             0.00061705
                      7,                      0,                 65.598,                      0,                      0,                      0,                      0,                      0,                      0,                 89.992,                      0,             0.00067488,             0.00067488,             0.00067488
                      8,                      0,                  68.07,                      0,                      0,                      0,                      0,                      0,                      0,                 91.267,                      0,             0.00071885,             0.00071885,             0.00071885
                      9,                      0,                 67.387,                      0,                      0,                      0,                      0,                      0,                      0,                 80.512,                      0,             0.00074896,             0.00074896,             0.00074896
                     10,                      0,                 62.857,                      0,                      0,                      0,                      0,                      0,                      0,                 78.838,                      0,             0.00076521,             0.00076521,             0.00076521
                     11,                      0,                 59.603,                      0,                      0,                      0,                      0,                      0,                      0,                 83.466,                      0,              0.0007676,              0.0007676,              0.0007676
                     12,                      0,                 57.837,                      0,                      0,                      0,                      0,                      0,                      0,                 96.529,                      0,             0.00075613,             0.00075613,             0.00075613
                     13,                      0,                 55.561,                      0,                      0,                      0,                      0,                      0,                      0,                  94.14,                      0,              0.0007308,              0.0007308,              0.0007308
                     14,                      0,                 54.247,                      0,                      0,                      0,                      0,                      0,                      0,                 84.851,                      0,             0.00069161,             0.00069161,             0.00069161
                     15,                      0,                 53.066,                      0,                      0,                      0,                      0,                      0,                      0,                  79.75,                      0,               0.000614,               0.000614,               0.000614
                     16,                      0,                  51.68,                      0,                      0,                      0,                      0,                      0,                      0,                 86.045,                      0,               0.000515,               0.000515,               0.000515
                     17,                      0,                 50.199,                      0,                      0,                      0,                      0,                      0,                      0,                 87.996,                      0,               0.000416,               0.000416,               0.000416
                     18,                      0,                 49.666,                      0,                      0,                      0,                      0,                      0,                      0,                 88.795,                      0,               0.000317,               0.000317,               0.000317
                     19,                      0,                 49.541,                      0,                      0,                      0,                      0,                      0,                      0,                 87.299,                      0,               0.000218,               0.000218,               0.000218
                     20,                      0,                 48.977,                      0,                      0,                      0,                      0,                      0,                      0,                 84.873,                      0,               0.000119,               0.000119,               0.000119
