                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 106.66,                      0,                      0,                      0,                      0,                      0,                      0,                 172.05,                      0,                0.00012,                0.00012,                0.00012
                      2,                      0,                 100.99,                      0,                      0,                      0,                      0,                      0,                      0,                 174.72,                      0,             0.00024713,             0.00024713,             0.00024713
                      3,                      0,                 91.274,                      0,                      0,                      0,                      0,                      0,                      0,                 173.22,                      0,              0.0003604,              0.0003604,              0.0003604
                      4,                      0,                 84.512,                      0,                      0,                      0,                      0,                      0,                      0,                 168.54,                      0,             0.00045981,             0.00045981,             0.00045981
                      5,                      0,                 79.641,                      0,                      0,                      0,                      0,                      0,                      0,                 157.71,                      0,             0.00054536,             0.00054536,             0.00054536
                      6,                      0,                 74.179,                      0,                      0,                      0,                      0,                      0,                      0,                 147.36,                      0,             0.00061705,             0.00061705,             0.00061705
                      7,                      0,                 69.399,                      0,                      0,                      0,                      0,                      0,                      0,                  229.2,                      0,             0.00067488,             0.00067488,             0.00067488
                      8,                      0,                 65.678,                      0,                      0,                      0,                      0,                      0,                      0,                 134.45,                      0,             0.00071885,             0.00071885,             0.00071885
                      9,                      0,                 63.805,                      0,                      0,                      0,                      0,                      0,                      0,                  297.9,                      0,             0.00074896,             0.00074896,             0.00074896
                     10,                      0,                 64.058,                      0,                      0,                      0,                      0,                      0,                      0,                 102.42,                      0,             0.00076521,             0.00076521,             0.00076521
                     11,                      0,                 61.985,                      0,                      0,                      0,                      0,                      0,                      0,                 93.965,                      0,              0.0007676,              0.0007676,              0.0007676
                     12,                      0,                 59.206,                      0,                      0,                      0,                      0,                      0,                      0,                 98.041,                      0,             0.00075613,             0.00075613,             0.00075613
                     13,                      0,                 56.867,                      0,                      0,                      0,                      0,                      0,                      0,                 88.047,                      0,              0.0007308,              0.0007308,              0.0007308
                     14,                      0,                 55.974,                      0,                      0,                      0,                      0,                      0,                      0,                 82.336,                      0,             0.00069161,             0.00069161,             0.00069161
                     15,                      0,                 55.463,                      0,                      0,                      0,                      0,                      0,                      0,                 83.644,                      0,               0.000614,               0.000614,               0.000614
                     16,                      0,                 53.835,                      0,                      0,                      0,                      0,                      0,                      0,                 85.469,                      0,               0.000515,               0.000515,               0.000515
                     17,                      0,                 52.956,                      0,                      0,                      0,                      0,                      0,                      0,                 84.808,                      0,               0.000416,               0.000416,               0.000416
                     18,                      0,                 52.356,                      0,                      0,                      0,                      0,                      0,                      0,                 83.535,                      0,               0.000317,               0.000317,               0.000317
                     19,                      0,                 52.047,                      0,                      0,                      0,                      0,                      0,                      0,                 82.492,                      0,               0.000218,               0.000218,               0.000218
                     20,                      0,                 51.502,                      0,                      0,                      0,                      0,                      0,                      0,                 82.517,                      0,               0.000119,               0.000119,               0.000119
