                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 111.63,                      0,                      0,                      0,                      0,                      0,                      0,                 175.11,                      0,                0.00012,                0.00012,                0.00012
                      2,                      0,                  102.7,                      0,                      0,                      0,                      0,                      0,                      0,                 174.51,                      0,             0.00024713,             0.00024713,             0.00024713
                      3,                      0,                 90.468,                      0,                      0,                      0,                      0,                      0,                      0,                 173.49,                      0,              0.0003604,              0.0003604,              0.0003604
                      4,                      0,                 80.478,                      0,                      0,                      0,                      0,                      0,                      0,                 169.98,                      0,             0.00045981,             0.00045981,             0.00045981
                      5,                      0,                 72.442,                      0,                      0,                      0,                      0,                      0,                      0,                 149.61,                      0,             0.00054536,             0.00054536,             0.00054536
                      6,                      0,                 67.877,                      0,                      0,                      0,                      0,                      0,                      0,                 121.59,                      0,             0.00061705,             0.00061705,             0.00061705
                      7,                      0,                 64.557,                      0,                      0,                      0,                      0,                      0,                      0,                 99.271,                      0,             0.00067488,             0.00067488,             0.00067488
                      8,                      0,                 62.431,                      0,                      0,                      0,                      0,                      0,                      0,                 92.137,                      0,             0.00071885,             0.00071885,             0.00071885
                      9,                      0,                 60.091,                      0,                      0,                      0,                      0,                      0,                      0,                 84.358,                      0,             0.00074896,             0.00074896,             0.00074896
                     10,                      0,                  58.41,                      0,                      0,                      0,                      0,                      0,                      0,                 93.452,                      0,             0.00076521,             0.00076521,             0.00076521
                     11,                      0,                  56.55,                      0,                      0,                      0,                      0,                      0,                      0,                 94.207,                      0,              0.0007676,              0.0007676,              0.0007676
                     12,                      0,                 55.523,                      0,                      0,                      0,                      0,                      0,                      0,                 93.366,                      0,             0.00075613,             0.00075613,             0.00075613
                     13,                      0,                 53.931,                      0,                      0,                      0,                      0,                      0,                      0,                 89.843,                      0,              0.0007308,              0.0007308,              0.0007308
                     14,                      0,                 53.005,                      0,                      0,                      0,                      0,                      0,                      0,                 69.915,                      0,             0.00069161,             0.00069161,             0.00069161
                     15,                      0,                 51.895,                      0,                      0,                      0,                      0,                      0,                      0,                 77.158,                      0,               0.000614,               0.000614,               0.000614
                     16,                      0,                 50.749,                      0,                      0,                      0,                      0,                      0,                      0,                 77.861,                      0,               0.000515,               0.000515,               0.000515
                     17,                      0,                 49.837,                      0,                      0,                      0,                      0,                      0,                      0,                 79.114,                      0,               0.000416,               0.000416,               0.000416
                     18,                      0,                 49.356,                      0,                      0,                      0,                      0,                      0,                      0,                 81.744,                      0,               0.000317,               0.000317,               0.000317
                     19,                      0,                 49.108,                      0,                      0,                      0,                      0,                      0,                      0,                 80.979,                      0,               0.000218,               0.000218,               0.000218
                     20,                      0,                  48.89,                      0,                      0,                      0,                      0,                      0,                      0,                 80.029,                      0,               0.000119,               0.000119,               0.000119
