                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2955,                 5.3025,                 4.4257,                0.00238,                0.63462,                0.01202,                0.00315,                 2.9872,                 4.2137,                 4.1583,                0.00012,                0.00012,                0.00012
                      2,                 3.2716,                 5.0964,                 4.3922,                0.00227,                0.61538,                0.01186,                0.00368,                  2.986,                   4.21,                  4.157,             0.00023426,             0.00023426,             0.00023426
                      3,                 3.1627,                  5.022,                 4.2874,                0.00241,                0.63462,                0.00794,                0.00244,                 2.9847,                 4.2004,                 4.1555,              0.0003208,              0.0003208,              0.0003208
                      4,                 3.1256,                 4.8726,                 4.2278,                0.00233,                0.61538,                0.00756,                 0.0024,                 2.9836,                 4.1865,                 4.1546,             0.00037962,             0.00037962,             0.00037962
                      5,                 3.1872,                  5.111,                 4.2229,                0.00227,                0.61538,                0.00543,                0.00163,                 2.9809,                 4.1582,                 4.1528,             0.00041072,             0.00041072,             0.00041072
                      6,                 3.3255,                 4.8299,                 4.1331,                0.00235,                0.63462,                0.00505,                 0.0016,                 2.9821,                 4.1303,                 4.1533,              0.0004141,              0.0004141,              0.0004141
                      7,                 3.0937,                 4.7679,                 4.1275,                0.00221,                0.61538,                0.00522,                0.00166,                 3.0026,                 4.0973,                 4.1618,             0.00038976,             0.00038976,             0.00038976
                      8,                 2.9963,                  4.692,                 4.1052,                0.00229,                0.63462,                0.00525,                0.00162,                 3.0198,                 4.0741,                 4.1696,              0.0003377,              0.0003377,              0.0003377
                      9,                 2.9446,                 4.6818,                 4.0103,                0.00221,                0.61538,                0.00522,                0.00156,                 3.0509,                 4.0359,                 4.1856,             0.00025792,             0.00025792,             0.00025792
                     10,                 3.0804,                 4.6223,                  4.043,                0.00221,                0.61538,                0.00532,                0.00168,                 3.0642,                 4.0157,                 4.1946,             0.00015042,             0.00015042,             0.00015042
