                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0017,                 2.5606,                 1.2917,                0.15065,                0.15385,                0.07081,                0.01701,                 2.7495,                  3.795,                 4.7728,                0.00048,                0.00048,                0.00048
                      2,                 1.4797,                 2.6362,                 1.7411,                0.02449,                0.34615,                0.01392,                0.00381,                 3.4681,                 667.27,                 38.984,             0.00088298,             0.00088298,             0.00088298
                      3,                 1.9038,                 2.7992,                 2.0842,                 0.0004,                0.11538,                0.00024,                  6e-05,                  4.728,              2.484e+05,                 1339.2,               0.001187,               0.001187,               0.001187
                      4,                 2.1002,                 2.7915,                 2.3279,                0.00239,                0.53846,                0.00218,                0.00073,                 3.2423,                 7173.3,                  114.7,              0.0013919,              0.0013919,              0.0013919
                      5,                 1.9327,                 2.6654,                 2.1881,                0.00397,                0.67308,                0.00372,                 0.0015,                 2.8739,                 6358.3,                 39.303,               0.001208,               0.001208,               0.001208
                      6,                 1.8657,                  2.515,                 2.0861,                0.01396,                0.53846,                0.01213,                0.00398,                 2.5621,                 168.85,                 5.0861,                0.00101,                0.00101,                0.00101
                      7,                  1.775,                 2.3786,                 2.0017,                0.04965,                0.30769,                0.03477,                0.01344,                 2.3334,                 11.039,                 3.2635,               0.000812,               0.000812,               0.000812
                      8,                 1.7338,                 2.3255,                 1.9687,                0.12961,                    0.5,                0.15815,                 0.0652,                 1.8397,                 3.8211,                 2.3998,               0.000614,               0.000614,               0.000614
                      9,                 1.5394,                 2.1273,                 1.7451,                0.47577,                0.48077,                0.46243,                0.20272,                 1.5797,                 2.6877,                 1.9681,               0.000416,               0.000416,               0.000416
                     10,                 1.4222,                  2.025,                 1.6553,                0.53634,                    0.5,                0.51607,                0.27647,                 1.3668,                  2.072,                 1.7811,               0.000218,               0.000218,               0.000218
